,count,mean,std,min,25%,median,75%,max
CusAgeYr,996.0,35.53012048192771,5.8625886872714155,24.0,31.0,36.5,40.0,47.0
CusGen,996.0,0.5662650602409639,0.4958384665885056,0.0,0.0,1.0,1.0,1.0
LevEdn,996.0,1.5080321285140563,0.6565753566550614,1.0,1.0,1.0,2.0,3.0
LevIncome,996.0,3.290160642570281,1.124931521890065,1.0,3.0,3.0,4.0,5.0
CusAcct,996.0,0.5642570281124498,0.4961029539373152,0.0,0.0,1.0,1.0,1.0
CusChoice,996.0,4.688755020080321,1.571579897138657,1.0,4.0,5.0,6.0,7.0
ConstUp,996.0,4.28714859437751,1.5678540536913552,1.0,3.0,4.0,5.0,7.0
ReplacReminder,996.0,4.365461847389558,1.6334973078717707,1.0,3.0,5.0,6.0,7.0
ProdReturn,996.0,3.8102409638554215,1.4805728696285352,1.0,3.0,4.0,5.0,7.0
ProInsuCov,996.0,3.8413654618473894,1.570755265306895,1.0,3.0,4.0,5.0,7.0
