variable,value,count,percent
CusAgeYr,24,13,1.3052208835341366
CusAgeYr,25,77,7.730923694779117
CusAgeYr,26,21,2.108433734939759
CusAgeYr,27,27,2.710843373493976
CusAgeYr,28,25,2.5100401606425704
CusAgeYr,29,25,2.5100401606425704
CusAgeYr,30,30,3.0120481927710845
CusAgeYr,31,39,3.9156626506024095
CusAgeYr,32,43,4.317269076305221
CusAgeYr,33,49,4.919678714859438
CusAgeYr,34,54,5.421686746987952
CusAgeYr,35,58,5.823293172690763
CusAgeYr,36,37,3.714859437751004
CusAgeYr,37,45,4.518072289156627
CusAgeYr,38,49,4.919678714859438
CusAgeYr,39,104,10.441767068273093
CusAgeYr,40,93,9.337349397590362
CusAgeYr,41,63,6.325301204819277
CusAgeYr,42,51,5.120481927710843
CusAgeYr,43,27,2.710843373493976
CusAgeYr,44,29,2.9116465863453813
CusAgeYr,45,20,2.0080321285140563
CusAgeYr,46,13,1.3052208835341366
CusAgeYr,47,4,0.40160642570281124
CusGen,0,432,43.373493975903614
CusGen,1,564,56.626506024096386
LevEdn,1,580,58.23293172690763
LevEdn,2,326,32.730923694779115
LevEdn,3,90,9.036144578313253
LevIncome,1,52,5.220883534136546
LevIncome,2,180,18.072289156626507
LevIncome,3,382,38.35341365461847
LevIncome,4,191,19.176706827309236
LevIncome,5,191,19.176706827309236
CusAcct,0,434,43.57429718875502
CusAcct,1,562,56.42570281124498
CusChoice,1,48,4.819277108433735
CusChoice,2,43,4.317269076305221
CusChoice,3,114,11.44578313253012
CusChoice,4,218,21.88755020080321
CusChoice,5,250,25.100401606425702
CusChoice,6,189,18.97590361445783
CusChoice,7,134,13.453815261044177
ConstUp,1,70,7.028112449799197
ConstUp,2,64,6.42570281124498
ConstUp,3,123,12.349397590361447
ConstUp,4,277,27.811244979919678
ConstUp,5,278,27.91164658634538
ConstUp,6,83,8.333333333333334
ConstUp,7,101,10.140562248995984
ReplacReminder,1,41,4.116465863453815
ReplacReminder,2,99,9.939759036144578
ReplacReminder,3,184,18.473895582329316
ReplacReminder,4,171,17.16867469879518
ReplacReminder,5,250,25.100401606425702
ReplacReminder,6,134,13.453815261044177
ReplacReminder,7,117,11.74698795180723
ProdReturn,1,62,6.224899598393574
ProdReturn,2,124,12.449799196787149
ProdReturn,3,246,24.698795180722893
ProdReturn,4,247,24.799196787148595
ProdReturn,5,182,18.27309236947791
ProdReturn,6,96,9.63855421686747
ProdReturn,7,39,3.9156626506024095
ProInsuCov,1,89,8.93574297188755
ProInsuCov,2,113,11.345381526104418
ProInsuCov,3,178,17.8714859437751
ProInsuCov,4,314,31.526104417670684
ProInsuCov,5,148,14.859437751004016
ProInsuCov,6,97,9.738955823293173
ProInsuCov,7,57,5.72289156626506
